Crop_Type,Soil_Type,Nitrogen_N,Phosphorus_P,Potassium_K,pH_Level,Temperature_C,Humidity_%,Soil_Moisture_%,Rainfall_mm,Fertilizer_Recommendation,Irrigation_Method,Water_Requirement_mm
Cotton,Black,113,60,66,8.4,16,61,66,57,Organic Compost / General,Drip,0.0
Muskmelon,Sandy Loam,19,42,47,7.4,36,33,50,56,Urea,Drip,0.0
Chickpea,Loamy,24,60,32,6.3,27,68,93,173,Organic Compost / General,Sprinkler,0.0
Blackgram,Loamy,17,33,23,5.7,32,71,66,191,Organic Compost / General,Furrow,0.0
Kidneybeans,Sandy Loam,0,20,7,6.7,32,39,42,35,MOP,Sprinkler,0.0
Blackgram,Loamy,31,16,44,6.4,30,56,92,63,DAP,Furrow,0.0
Lentil,Loamy,17,12,11,6.2,33,76,58,37,DAP,Sprinkler,0.0
Blackgram,Loamy,31,39,39,5.9,16,37,22,33,Organic Compost / General,Furrow,0.6
Rice,Clay,110,64,50,6.0,25,49,58,28,Organic Compost / General,Flood,18.1
Rice,Clay,91,38,20,5.8,21,63,80,157,Organic Compost / General,Flood,0.0
Rice,Clay,72,35,14,6.1,25,89,87,197,MOP,Flood,0.0
Orange,Black,111,32,63,6.2,18,47,42,148,MOP,Drip,0.0
Jute,Clay,56,35,33,6.1,18,72,40,50,Organic Compost / General,Flood,20.0
Banana,Clay,98,52,197,6.3,38,46,65,115,Urea,Drip,0.0
Mungbean,Sandy Loam,9,45,17,7.6,26,37,57,0,Organic Compost / General,Sprinkler,0.0
Grapes,Sandy Loam,66,44,153,6.9,18,62,39,135,Organic Compost / General,Drip,0.0
Banana,Clay,147,62,212,6.6,15,90,59,158,Organic Compost / General,Drip,0.0
Coconut,Red,117,33,125,6.5,21,68,73,180,Organic Compost / General,Basin,0.0
Cotton,Black,93,66,35,5.6,31,80,33,178,Organic Compost / General,Drip,0.0
Mungbean,Sandy Loam,4,40,31,7.5,27,35,42,20,Organic Compost / General,Sprinkler,0.0
Lentil,Loamy,0,43,0,6.5,36,56,41,188,Organic Compost / General,Sprinkler,0.0
Mango,Loamy,54,25,72,6.4,18,35,92,193,Urea,Drip,0.0
Kidneybeans,Sandy Loam,1,44,33,5.9,24,49,73,82,Organic Compost / General,Sprinkler,0.0
Muskmelon,Sandy Loam,40,50,91,6.5,21,50,27,46,Urea,Drip,0.0
Mungbean,Sandy Loam,8,45,21,6.4,23,80,21,123,Organic Compost / General,Sprinkler,0.0
Lentil,Loamy,36,50,22,5.6,35,57,56,141,Organic Compost / General,Sprinkler,0.0
Mango,Loamy,65,29,103,5.3,28,90,20,20,Organic Compost / General,Drip,45.0
Banana,Clay,141,54,155,7.3,33,33,48,84,MOP,Drip,0.0
Jute,Clay,81,12,35,6.6,24,35,61,231,SSP,Flood,0.0
Blackgram,Loamy,0,37,24,6.8,16,89,59,21,Organic Compost / General,Furrow,0.0
Coconut,Red,65,40,128,5.6,23,49,61,170,Urea,Basin,0.0
Orange,Black,95,74,98,6.1,34,30,55,101,Organic Compost / General,Drip,0.0
Chickpea,Loamy,16,70,56,7.4,27,50,60,158,Organic Compost / General,Sprinkler,0.0
Watermelon,Sandy,69,35,76,7.1,32,50,73,28,Organic Compost / General,Drip,0.0
Watermelon,Sandy,83,54,110,6.7,34,54,47,245,Organic Compost / General,Drip,0.0
Cotton,Black,125,47,10,6.8,25,69,40,32,MOP,Drip,0.0
Cotton,Black,98,32,37,6.7,21,45,66,104,Organic Compost / General,Drip,0.0
Chickpea,Loamy,5,70,13,7.9,37,57,25,9,Organic Compost / General,Sprinkler,22.5
Papaya,Loamy,80,45,75,6.5,27,64,53,181,Organic Compost / General,Drip,0.0
Pigeonpeas,Loamy,28,45,30,6.0,38,50,89,61,Organic Compost / General,Drip,0.0
Cotton,Black,75,38,16,5.6,29,38,71,32,MOP,Drip,0.0
Rice,Clay,92,58,39,5.4,35,76,67,247,Organic Compost / General,Flood,0.0
Lentil,Loamy,23,68,32,6.1,17,77,52,6,Organic Compost / General,Sprinkler,0.0
Coconut,Red,94,23,141,6.7,34,75,49,172,Ammonium Sulphate,Basin,0.0
Pomegranate,Sandy,47,45,102,7.7,27,53,23,246,Organic Compost / General,Drip,0.0
Orange,Black,56,58,114,7.5,21,55,36,130,Urea,Drip,0.0
Pigeonpeas,Loamy,9,47,56,6.8,20,37,24,13,Organic Compost / General,Drip,24.0
Jute,Clay,35,45,48,6.3,31,80,35,184,Urea,Flood,0.0
Rice,Clay,87,53,43,6.8,27,51,34,40,Organic Compost / General,Flood,44.5
Watermelon,Sandy,37,14,106,7.1,37,66,55,35,Urea,Drip,0.0
Mango,Loamy,118,26,51,5.6,22,30,88,139,MOP,Drip,0.0
Kidneybeans,Sandy Loam,8,43,38,6.0,26,75,35,226,Organic Compost / General,Sprinkler,0.0
Muskmelon,Sandy Loam,42,40,88,7.8,36,78,37,61,Urea,Drip,0.0
Rice,Clay,62,46,66,5.5,26,50,33,24,Organic Compost / General,Flood,58.8
Maize,Sandy Loam,86,61,46,6.0,34,90,71,53,Organic Compost / General,Furrow,0.0
Mothbeans,Sandy,0,21,0,7.7,36,43,65,203,Organic Compost / General,Drip,0.0
Mothbeans,Sandy,7,10,0,7.7,21,73,67,26,SSP,Drip,0.0
Blackgram,Loamy,7,47,43,7.8,37,78,71,205,Organic Compost / General,Furrow,0.0
Papaya,Loamy,74,70,145,6.1,29,38,82,54,Organic Compost / General,Drip,0.0
Mango,Loamy,60,41,93,5.1,33,62,79,206,Organic Compost / General,Drip,0.0
Muskmelon,Sandy Loam,53,34,69,6.4,38,35,50,228,Organic Compost / General,Drip,0.0
Cotton,Black,81,43,33,8.4,25,71,90,163,Organic Compost / General,Drip,0.0
Papaya,Loamy,46,51,34,6.1,28,72,20,88,Urea,Drip,0.0
Kidneybeans,Sandy Loam,13,15,20,6.3,15,51,32,224,DAP,Sprinkler,0.0
Blackgram,Loamy,40,16,23,6.6,38,31,59,14,DAP,Furrow,0.0
Apple,Clay Loam,97,45,104,5.7,15,76,48,163,Organic Compost / General,Drip,0.0
Papaya,Loamy,92,46,79,6.0,21,64,76,31,Organic Compost / General,Drip,0.0
Cotton,Black,81,35,73,7.6,18,68,68,250,Organic Compost / General,Drip,0.0
Pigeonpeas,Loamy,7,56,24,6.0,21,72,30,215,Organic Compost / General,Drip,0.0
Mungbean,Sandy Loam,0,44,59,5.8,37,32,53,100,Organic Compost / General,Sprinkler,0.0
Kidneybeans,Sandy Loam,13,20,45,6.1,29,84,81,141,SSP,Sprinkler,0.0
Maize,Sandy Loam,88,54,38,5.6,38,67,42,11,Organic Compost / General,Furrow,27.0
Apple,Clay Loam,93,40,86,6.4,33,57,49,154,MOP,Drip,0.0
Mango,Loamy,101,26,106,5.8,16,37,32,249,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,63,66,136,5.6,18,85,94,93,Organic Compost / General,Drip,0.0
Mothbeans,Sandy,0,21,1,7.6,24,74,75,165,Organic Compost / General,Drip,0.0
Lentil,Loamy,54,31,1,7.3,23,73,62,227,Organic Compost / General,Sprinkler,0.0
Cotton,Black,77,40,66,8.2,25,58,75,175,Organic Compost / General,Drip,0.0
Cotton,Black,97,42,65,7.4,26,33,25,171,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,80,63,105,6.2,27,39,51,133,MOP,Drip,0.0
Mungbean,Sandy Loam,4,49,39,6.2,38,90,49,15,Organic Compost / General,Sprinkler,0.0
Rice,Clay,72,28,52,5.3,24,33,92,104,Ammonium Sulphate,Flood,0.0
Apple,Clay Loam,104,34,122,5.6,17,83,26,59,Organic Compost / General,Drip,3.8
Coffee,Red,66,11,48,5.2,16,78,46,159,NPK 10-26-26,Sprinkler,0.0
Watermelon,Sandy,64,35,55,5.6,17,45,46,107,MOP,Drip,0.0
Lentil,Loamy,17,49,24,5.6,36,40,30,38,Organic Compost / General,Sprinkler,0.0
Jute,Clay,62,20,48,6.5,21,85,55,123,Organic Compost / General,Flood,0.0
Coffee,Red,91,19,92,5.9,36,52,52,177,SSP,Sprinkler,0.0
Papaya,Loamy,83,78,59,7.3,21,85,30,27,Organic Compost / General,Drip,23.4
Muskmelon,Sandy Loam,59,64,46,7.2,35,80,70,190,MOP,Drip,0.0
Watermelon,Sandy,57,56,71,6.0,17,62,80,170,Organic Compost / General,Drip,0.0
Maize,Sandy Loam,84,58,36,6.3,19,80,44,203,Organic Compost / General,Furrow,0.0
Pigeonpeas,Loamy,9,42,26,6.8,20,86,52,224,Organic Compost / General,Drip,0.0
Orange,Black,97,45,88,6.1,24,51,61,189,Organic Compost / General,Drip,0.0
Mungbean,Sandy Loam,21,56,17,7.5,26,84,85,14,Organic Compost / General,Sprinkler,0.0
Coconut,Red,99,14,157,6.5,24,88,79,187,DAP,Basin,0.0
Coffee,Red,72,47,26,4.8,30,90,56,94,MOP,Sprinkler,0.0
Pigeonpeas,Loamy,24,74,29,6.7,19,81,86,172,Organic Compost / General,Drip,0.0
Orange,Black,61,45,88,7.8,38,90,34,44,Organic Compost / General,Drip,0.0
Papaya,Loamy,113,14,67,6.3,30,71,95,26,DAP,Drip,0.0
Blackgram,Loamy,37,34,7,7.8,26,42,54,136,Organic Compost / General,Furrow,0.0
Apple,Clay Loam,36,55,123,5.3,37,85,48,120,Urea,Drip,0.0
Banana,Clay,114,69,217,7.8,28,74,87,132,Organic Compost / General,Drip,0.0
Rice,Clay,56,41,52,5.4,36,46,95,178,Urea,Flood,0.0
Blackgram,Loamy,28,36,65,6.7,15,67,57,189,Organic Compost / General,Furrow,0.0
Jute,Clay,55,8,35,7.2,19,42,72,75,DAP,Flood,0.0
Mungbean,Sandy Loam,17,35,0,6.9,23,45,21,135,MOP,Sprinkler,0.0
Coffee,Red,104,0,19,5.3,26,62,57,205,DAP,Sprinkler,0.0
Kidneybeans,Sandy Loam,0,28,28,5.4,34,88,43,34,Ammonium Sulphate,Sprinkler,0.0
Mungbean,Sandy Loam,6,62,71,6.3,36,53,48,199,Organic Compost / General,Sprinkler,0.0
Mungbean,Sandy Loam,27,36,0,5.8,19,80,72,67,MOP,Sprinkler,0.0
Cotton,Black,60,37,66,7.3,38,76,90,156,Urea,Drip,0.0
Grapes,Sandy Loam,81,50,143,7.3,25,54,24,80,Organic Compost / General,Drip,0.0
Kidneybeans,Sandy Loam,29,32,37,6.2,19,83,55,187,Organic Compost / General,Sprinkler,0.0
Maize,Sandy Loam,75,35,11,7.4,26,90,62,33,NPK 10-26-26,Furrow,0.0
Maize,Sandy Loam,94,38,41,7.4,28,52,81,107,Ammonium Sulphate,Furrow,0.0
Maize,Sandy Loam,80,28,37,6.7,29,36,40,93,DAP,Furrow,0.0
Papaya,Loamy,67,34,67,5.9,35,80,75,236,Ammonium Sulphate,Drip,0.0
Pomegranate,Sandy,45,50,67,6.5,22,47,29,193,MOP,Drip,0.0
Mothbeans,Sandy,15,36,35,7.9,28,39,81,68,Organic Compost / General,Drip,0.0
Cotton,Black,95,44,36,7.3,17,43,46,114,Organic Compost / General,Drip,0.0
Jute,Clay,64,17,0,6.8,20,86,32,121,MOP,Flood,0.0
Mango,Loamy,102,7,84,7.3,26,41,89,1,DAP,Drip,0.0
Banana,Clay,132,85,195,7.4,15,75,93,101,Organic Compost / General,Drip,0.0
Watermelon,Sandy,62,44,89,6.1,22,56,85,201,Organic Compost / General,Drip,0.0
Coconut,Red,86,50,154,6.8,18,33,77,243,Organic Compost / General,Basin,0.0
Lentil,Loamy,11,43,0,5.9,22,36,69,70,Organic Compost / General,Sprinkler,0.0
Chickpea,Loamy,16,22,32,6.7,24,51,75,31,DAP,Sprinkler,0.0
Maize,Sandy Loam,97,71,33,5.8,17,56,51,110,Organic Compost / General,Furrow,0.0
Mango,Loamy,65,36,95,7.0,37,61,32,16,Organic Compost / General,Drip,27.0
Coconut,Red,103,25,153,5.8,30,48,26,55,SSP,Basin,14.5
Pigeonpeas,Loamy,12,41,34,5.8,20,64,50,121,Organic Compost / General,Drip,0.0
Kidneybeans,Sandy Loam,19,27,46,6.8,38,80,63,152,SSP,Sprinkler,0.0
Papaya,Loamy,104,44,96,5.6,35,37,35,238,Organic Compost / General,Drip,0.0
Orange,Black,62,20,117,5.9,28,64,73,41,Ammonium Sulphate,Drip,0.0
Watermelon,Sandy,76,29,78,7.2,24,50,46,97,SSP,Drip,0.0
Banana,Clay,144,74,171,7.3,28,64,64,241,Organic Compost / General,Drip,0.0
Kidneybeans,Sandy Loam,1,19,58,5.5,17,39,65,218,DAP,Sprinkler,0.0
Pigeonpeas,Loamy,10,45,44,7.4,24,65,77,180,Organic Compost / General,Drip,0.0
Kidneybeans,Sandy Loam,43,67,15,6.7,30,90,40,23,Organic Compost / General,Sprinkler,0.0
Mango,Loamy,57,40,85,6.8,35,57,20,250,Urea,Drip,0.0
Maize,Sandy Loam,117,53,8,6.6,33,42,69,232,MOP,Furrow,0.0
Pomegranate,Sandy,17,39,110,6.7,35,69,79,80,Urea,Drip,0.0
Maize,Sandy Loam,92,62,31,5.5,35,52,59,26,Organic Compost / General,Furrow,0.0
Coconut,Red,53,35,114,7.1,37,41,39,137,Urea,Basin,0.0
Lentil,Loamy,0,58,26,6.4,30,61,63,132,Organic Compost / General,Sprinkler,0.0
Jute,Clay,89,48,12,6.9,21,31,50,244,Organic Compost / General,Flood,0.0
Papaya,Loamy,100,38,68,6.7,24,72,87,59,SSP,Drip,0.0
Apple,Clay Loam,80,55,119,6.7,35,61,31,124,Organic Compost / General,Drip,0.0
Apple,Clay Loam,63,34,100,5.5,29,50,61,28,Organic Compost / General,Drip,0.0
Orange,Black,44,11,76,7.2,19,50,36,103,NPK 10-26-26,Drip,0.0
Mungbean,Sandy Loam,39,54,33,7.1,35,80,23,67,Organic Compost / General,Sprinkler,0.0
Kidneybeans,Sandy Loam,22,54,49,5.7,38,52,38,159,Organic Compost / General,Sprinkler,0.0
Mango,Loamy,126,32,88,7.1,18,82,25,10,Organic Compost / General,Drip,37.5
Blackgram,Loamy,37,39,33,6.4,32,35,36,194,Organic Compost / General,Furrow,0.0
Cotton,Black,114,38,19,7.6,19,72,24,177,MOP,Drip,0.0
Apple,Clay Loam,93,35,128,5.0,16,78,88,234,Organic Compost / General,Drip,0.0
Coffee,Red,102,51,61,6.5,27,79,77,68,Organic Compost / General,Sprinkler,0.0
Coffee,Red,83,36,56,4.6,15,68,81,49,Organic Compost / General,Sprinkler,0.0
Apple,Clay Loam,124,53,81,6.4,17,33,24,6,MOP,Drip,54.0
Pigeonpeas,Loamy,28,46,40,5.9,22,65,59,188,Organic Compost / General,Drip,0.0
Maize,Sandy Loam,137,54,42,5.8,19,73,53,183,Organic Compost / General,Furrow,0.0
Mothbeans,Sandy,0,22,6,7.8,34,51,51,2,Organic Compost / General,Drip,0.0
Chickpea,Loamy,37,46,0,6.4,29,40,34,94,MOP,Sprinkler,0.0
Jute,Clay,22,31,0,6.7,19,31,41,200,Urea,Flood,0.0
Cotton,Black,122,40,63,6.1,34,30,22,55,Organic Compost / General,Drip,0.0
Cotton,Black,77,67,52,6.1,31,45,39,113,Organic Compost / General,Drip,0.0
Mungbean,Sandy Loam,10,39,36,7.7,15,45,40,80,Organic Compost / General,Sprinkler,0.0
Jute,Clay,31,44,28,7.4,37,62,42,150,Urea,Flood,0.0
Mothbeans,Sandy,28,35,29,8.4,34,60,34,3,Organic Compost / General,Drip,0.0
Mungbean,Sandy Loam,15,54,8,7.4,17,47,37,35,MOP,Sprinkler,0.0
Coffee,Red,80,45,74,5.9,27,36,20,99,Organic Compost / General,Sprinkler,0.0
Pomegranate,Sandy,68,26,59,7.7,16,45,24,171,MOP,Drip,0.0
Orange,Black,112,58,93,6.4,26,54,76,233,Organic Compost / General,Drip,0.0
Mango,Loamy,96,17,82,7.3,16,73,69,96,SSP,Drip,0.0
Kidneybeans,Sandy Loam,5,32,23,6.1,35,44,70,206,Organic Compost / General,Sprinkler,0.0
Rice,Clay,113,49,6,7.4,20,38,68,5,MOP,Flood,25.5
Cotton,Black,126,62,34,6.2,27,55,59,0,Organic Compost / General,Drip,0.0
Jute,Clay,69,26,36,6.6,27,85,23,178,Organic Compost / General,Flood,0.0
Papaya,Loamy,85,22,72,7.1,35,77,60,22,DAP,Drip,0.0
Jute,Clay,21,5,35,6.9,22,54,70,242,Urea,Flood,0.0
Rice,Clay,76,35,26,7.1,29,30,80,191,Organic Compost / General,Flood,0.0
Papaya,Loamy,107,70,55,5.6,32,44,75,87,Organic Compost / General,Drip,0.0
Blackgram,Loamy,12,57,50,5.8,21,90,34,160,Organic Compost / General,Furrow,0.0
Blackgram,Loamy,0,27,29,7.1,38,72,24,95,Ammonium Sulphate,Furrow,0.0
Apple,Clay Loam,67,47,83,5.6,19,78,52,160,MOP,Drip,0.0
Maize,Sandy Loam,113,92,32,5.5,31,40,76,247,Organic Compost / General,Furrow,0.0
Rice,Clay,79,3,36,6.2,29,77,34,107,DAP,Flood,0.0
Apple,Clay Loam,69,34,132,6.9,20,87,87,223,Organic Compost / General,Drip,0.0
Papaya,Loamy,82,33,66,6.6,24,35,75,2,SSP,Drip,0.0
Jute,Clay,55,29,40,5.9,21,45,60,234,Organic Compost / General,Flood,0.0
Muskmelon,Sandy Loam,56,38,102,6.4,25,30,26,173,Organic Compost / General,Drip,0.0
Banana,Clay,116,64,211,6.3,28,72,74,84,Organic Compost / General,Drip,0.0
Coffee,Red,82,17,87,6.1,17,63,22,29,SSP,Sprinkler,33.8
Apple,Clay Loam,95,47,121,5.7,36,64,76,201,Organic Compost / General,Drip,0.0
Grapes,Sandy Loam,5,33,114,6.5,37,50,48,101,NPK 10-26-26,Drip,0.0
Maize,Sandy Loam,94,44,29,7.1,24,30,88,168,Organic Compost / General,Furrow,0.0
Pomegranate,Sandy,70,30,92,6.8,19,81,58,17,Organic Compost / General,Drip,0.0
Mango,Loamy,102,19,103,5.4,25,55,54,100,SSP,Drip,0.0
Chickpea,Loamy,26,41,51,7.0,15,68,49,4,Organic Compost / General,Sprinkler,0.0
Orange,Black,64,50,108,5.9,30,40,62,5,Organic Compost / General,Drip,0.0
Jute,Clay,84,47,0,5.5,32,62,84,156,MOP,Flood,0.0
Cotton,Black,72,44,53,7.8,22,81,81,195,Organic Compost / General,Drip,0.0
Lentil,Loamy,32,0,16,6.1,30,37,55,120,DAP,Sprinkler,0.0
Coffee,Red,92,42,78,5.3,15,75,72,92,Organic Compost / General,Sprinkler,0.0
Banana,Clay,140,85,224,7.5,23,39,46,243,Organic Compost / General,Drip,0.0
Lentil,Loamy,0,35,0,7.2,35,81,28,182,Organic Compost / General,Sprinkler,0.0
Pigeonpeas,Loamy,47,18,11,7.6,36,63,75,167,DAP,Drip,0.0
Cotton,Black,98,50,35,7.2,16,66,65,79,Organic Compost / General,Drip,0.0
Mango,Loamy,102,31,89,6.5,30,62,37,81,Organic Compost / General,Drip,0.0
Papaya,Loamy,67,50,115,7.0,27,83,20,49,Organic Compost / General,Drip,20.8
Cotton,Black,52,14,30,5.9,25,45,40,141,NPK 10-26-26,Drip,0.0
Pomegranate,Sandy,63,39,76,7.9,37,53,55,222,Organic Compost / General,Drip,0.0
Mango,Loamy,67,10,114,7.1,35,67,23,43,Ammonium Sulphate,Drip,6.1
Apple,Clay Loam,55,51,130,6.6,37,76,85,2,Urea,Drip,0.0
Mungbean,Sandy Loam,0,42,48,6.1,26,71,58,169,Organic Compost / General,Sprinkler,0.0
Coconut,Red,89,34,161,7.4,21,74,50,130,Organic Compost / General,Basin,0.0
Apple,Clay Loam,88,44,141,5.8,17,63,40,62,Organic Compost / General,Drip,0.0
Cotton,Black,49,39,117,5.9,22,83,21,5,Urea,Drip,43.5
Chickpea,Loamy,20,19,59,8.0,32,34,67,237,DAP,Sprinkler,0.0
Mango,Loamy,43,13,95,5.7,21,81,32,166,Urea,Drip,0.0
Mothbeans,Sandy,0,39,32,7.5,18,30,88,67,Organic Compost / General,Drip,0.0
Rice,Clay,88,34,48,6.8,20,75,40,142,Organic Compost / General,Flood,0.0
Orange,Black,74,24,79,7.8,15,90,61,40,Ammonium Sulphate,Drip,0.0
Jute,Clay,79,50,39,6.7,28,89,31,146,Organic Compost / General,Flood,0.0
Mungbean,Sandy Loam,24,36,16,7.1,23,76,41,110,Organic Compost / General,Sprinkler,0.0
Watermelon,Sandy,78,33,73,7.2,35,38,94,65,Organic Compost / General,Drip,0.0
Coconut,Red,93,35,144,6.5,30,89,34,115,Organic Compost / General,Basin,0.0
Chickpea,Loamy,0,63,59,5.9,21,79,62,236,Organic Compost / General,Sprinkler,0.0
Papaya,Loamy,68,34,41,7.1,15,67,33,201,NPK 10-26-26,Drip,0.0
Mungbean,Sandy Loam,15,30,48,6.6,18,34,45,172,Organic Compost / General,Sprinkler,0.0
Blackgram,Loamy,35,57,14,6.5,34,38,94,9,Organic Compost / General,Furrow,0.0
Mango,Loamy,54,11,119,6.6,22,59,34,248,Urea,Drip,0.0
Orange,Black,65,20,93,7.5,35,80,43,28,Ammonium Sulphate,Drip,0.0
Coffee,Red,105,55,68,6.8,31,75,32,85,Organic Compost / General,Sprinkler,0.0
Muskmelon,Sandy Loam,87,38,120,6.9,26,45,32,244,Organic Compost / General,Drip,0.0
Maize,Sandy Loam,117,27,6,6.0,35,38,73,125,DAP,Furrow,0.0
Maize,Sandy Loam,102,79,40,7.0,17,66,41,37,Organic Compost / General,Furrow,0.0
Muskmelon,Sandy Loam,39,35,84,6.4,29,57,66,195,Urea,Drip,0.0
Grapes,Sandy Loam,40,30,91,5.8,23,80,41,124,NPK 10-26-26,Drip,0.0
Jute,Clay,53,47,18,7.3,18,45,82,141,Organic Compost / General,Flood,0.0
Papaya,Loamy,76,39,57,6.8,23,65,38,250,Ammonium Sulphate,Drip,0.0
Pomegranate,Sandy,22,13,84,6.7,17,33,21,243,Urea,Drip,0.0
Apple,Clay Loam,118,35,124,7.2,22,55,46,154,Organic Compost / General,Drip,0.0
Apple,Clay Loam,96,30,108,5.8,27,84,39,155,Organic Compost / General,Drip,0.0
Coffee,Red,65,26,60,5.5,16,37,31,68,Organic Compost / General,Sprinkler,0.0
Kidneybeans,Sandy Loam,0,33,5,6.9,27,40,40,62,MOP,Sprinkler,0.0
Maize,Sandy Loam,119,51,0,6.1,38,35,59,198,MOP,Furrow,0.0
Banana,Clay,123,63,194,7.1,30,36,95,7,Organic Compost / General,Drip,0.0
Watermelon,Sandy,59,46,89,6.3,27,61,41,138,Organic Compost / General,Drip,0.0
Pigeonpeas,Loamy,0,4,35,7.0,34,30,55,55,DAP,Drip,0.0
Coffee,Red,115,33,60,5.9,29,31,52,152,Organic Compost / General,Sprinkler,0.0
Lentil,Loamy,24,26,0,5.8,34,79,54,207,SSP,Sprinkler,0.0
Maize,Sandy Loam,87,48,63,7.2,21,70,67,117,Organic Compost / General,Furrow,0.0
Mango,Loamy,62,7,90,5.3,38,72,59,54,DAP,Drip,0.0
Mothbeans,Sandy,0,26,0,6.1,27,30,57,11,Organic Compost / General,Drip,0.0
Pigeonpeas,Loamy,11,22,30,5.6,29,54,41,59,DAP,Drip,0.0
Pomegranate,Sandy,76,48,97,7.9,33,45,25,15,Organic Compost / General,Drip,37.5
Coffee,Red,57,17,27,6.2,23,83,75,249,NPK 10-26-26,Sprinkler,0.0
Jute,Clay,48,26,0,7.2,32,39,53,175,MOP,Flood,0.0
Watermelon,Sandy,72,66,52,6.6,32,62,38,237,MOP,Drip,0.0
Papaya,Loamy,86,60,72,6.2,18,73,72,58,Organic Compost / General,Drip,0.0
Coconut,Red,89,44,133,6.0,25,31,79,248,Organic Compost / General,Basin,0.0
Blackgram,Loamy,16,23,24,6.7,15,89,25,188,SSP,Furrow,0.0
Coconut,Red,124,72,111,6.8,24,47,77,50,MOP,Basin,0.0
Jute,Clay,73,19,27,6.7,18,71,58,101,SSP,Flood,0.0
Maize,Sandy Loam,98,49,69,5.8,24,50,31,33,Organic Compost / General,Furrow,17.1
