crop_type,soil_moisture_%,soil_pH,nitrogen_ppm,phosphorus_ppm,potassium_ppm,temperature_C,rainfall_mm,humidity_%,sunlight_hours,row_spacing_cm,plant_spacing_cm,plant_density_per_sqm,pesticide_usage_ml,total_days,NDVI_index,yield_kg_per_ha
rice,57.33,5.75,96.84,63.81,47.97,28.19,919.63,63.02,9.27,23.65,7.36,57.44,25.95,118,0.75,4500.79
soybean,44.75,6.42,48.89,59.88,68.69,28.16,855.02,65.86,9.87,36.32,11.29,24.4,399.41,141,0.651,2055.65
cotton,81.16,7.44,50.65,73.54,79.76,29.52,1034.4,70.99,9.29,63.18,24.16,6.55,238.62,99,0.827,3047.82
wheat,46.9,6.68,101.73,64.8,42.56,34.22,547.92,78.31,6.13,20.78,7.8,61.71,262.55,96,0.526,4487.53
maize,77.52,6.56,57.55,25.09,43.71,25.54,1081.31,74.21,8.56,59.93,19.25,8.67,109.77,103,0.742,7464.33
wheat,43.31,7.22,99.46,25.24,43.95,23.57,743.81,67.99,8.18,10.0,4.1,243.61,30.02,138,0.831,3618.37
maize,41.8,5.95,101.88,30.83,68.35,23.21,801.56,76.5,7.14,57.54,25.62,6.78,198.47,93,0.662,8201.41
rice,43.68,6.91,56.34,28.79,99.41,29.04,935.22,77.3,8.24,30.12,14.0,23.71,440.87,112,0.652,3753.36
soybean,64.72,5.5,92.51,74.43,33.41,23.11,1181.87,79.59,5.78,26.12,10.83,35.36,302.17,124,0.799,1814.59
rice,81.62,5.74,59.48,72.48,45.52,25.29,526.6,63.72,5.93,16.73,6.71,89.06,389.95,120,0.609,4327.65
maize,59.23,6.64,63.78,22.37,66.61,25.25,766.98,80.81,7.89,60.72,19.21,8.57,368.11,101,0.808,8189.63
wheat,56.48,7.09,110.61,31.14,39.02,31.55,606.94,66.49,10.0,12.3,4.51,180.44,246.66,137,0.785,4359.6
wheat,59.54,6.64,51.18,33.45,50.45,27.28,518.87,76.36,5.9,15.68,7.45,85.62,216.08,104,0.791,5106.64
cotton,75.21,7.11,52.04,62.69,35.41,24.52,1109.85,63.94,6.33,60.87,22.71,7.23,494.68,103,0.621,2658.34
wheat,88.29,6.45,65.59,59.77,54.48,24.37,1104.38,80.0,6.89,10.0,3.58,278.94,207.07,137,0.695,4341.12
soybean,54.38,7.06,63.37,70.74,52.32,25.68,818.23,62.04,7.04,32.19,11.01,28.2,344.03,105,0.508,1741.01
cotton,74.24,6.1,65.69,61.91,87.89,23.48,606.32,65.8,9.74,53.7,18.57,10.03,321.24,124,0.845,2732.34
wheat,62.36,5.98,67.56,43.92,80.56,22.71,1160.13,83.89,6.13,18.23,5.52,99.45,18.91,97,0.736,3841.91
rice,83.82,7.38,84.71,75.79,94.25,25.54,649.37,54.33,5.84,14.8,4.64,145.68,162.59,123,0.826,3627.45
maize,71.72,7.09,111.49,72.7,44.77,30.58,1191.09,75.97,8.06,64.94,31.16,4.94,289.83,95,0.61,7473.33
soybean,66.74,6.45,75.25,62.82,40.63,26.82,1026.25,60.26,7.28,24.94,12.0,33.41,198.18,141,0.613,2141.49
wheat,63.81,7.28,116.09,33.6,79.74,26.34,1119.91,59.29,6.05,19.34,8.36,61.84,235.05,97,0.69,4546.41
wheat,88.79,7.07,75.27,38.05,63.26,21.15,512.72,69.35,8.58,13.57,4.17,176.56,149.24,126,0.896,4421.65
wheat,42.24,6.47,41.34,30.25,31.43,21.76,709.84,56.83,6.02,15.99,5.14,121.68,42.49,90,0.542,4745.5
soybean,75.96,6.63,117.75,64.49,39.43,30.04,665.38,51.88,8.82,30.67,14.0,23.28,312.06,92,0.541,1913.27
maize,84.37,6.98,80.54,33.61,30.24,21.25,529.08,70.46,9.71,63.3,27.77,5.69,108.39,103,0.603,7556.39
wheat,56.4,6.34,105.44,67.18,56.03,20.85,916.16,70.1,8.92,17.57,7.13,79.76,322.65,125,0.867,3843.25
soybean,57.33,6.3,108.93,35.64,78.85,19.86,619.75,83.7,7.31,18.73,7.1,75.23,169.59,106,0.839,2111.88
soybean,47.2,6.49,79.86,32.49,71.03,32.49,505.1,77.6,8.82,33.92,15.36,19.19,181.41,132,0.858,2101.58
soybean,70.99,7.36,111.17,42.05,87.11,31.6,857.56,58.2,8.03,34.81,17.02,16.88,123.01,111,0.822,2069.67
soybean,50.38,6.79,68.2,68.02,52.65,18.04,755.48,74.34,6.83,35.24,11.7,24.25,163.33,117,0.654,2104.77
soybean,73.28,5.61,119.12,44.48,91.92,33.55,1138.75,61.04,7.39,30.09,9.9,33.58,171.54,91,0.779,1838.87
cotton,64.94,7.04,99.25,27.64,47.84,28.14,884.11,70.08,9.52,60.58,20.85,7.92,487.84,126,0.895,2984.66
soybean,80.19,6.34,98.89,65.62,36.97,21.94,514.55,76.09,6.2,34.4,16.67,17.44,483.04,128,0.524,2301.81
soybean,64.01,6.42,76.03,64.0,35.33,33.73,503.48,56.64,9.44,36.38,13.39,20.52,399.66,113,0.731,1706.15
rice,55.44,6.23,119.92,79.4,70.61,32.65,488.38,84.93,7.21,19.16,7.49,69.65,328.9,141,0.761,3381.62
maize,63.96,6.76,58.66,31.58,42.19,28.8,975.94,53.84,7.32,53.56,17.97,10.39,264.56,142,0.824,6178.76
cotton,40.86,5.97,118.16,26.9,32.66,29.53,1103.85,78.15,7.17,58.85,23.95,7.09,253.86,117,0.52,2773.86
maize,42.22,7.25,70.71,65.41,74.58,23.93,1063.82,82.61,9.15,62.82,23.77,6.7,248.48,144,0.639,8035.04
maize,82.2,6.28,94.54,48.58,91.07,31.97,685.43,62.83,6.94,58.35,21.84,7.85,339.9,142,0.65,7885.81
cotton,71.96,6.21,86.14,75.14,98.67,25.64,1193.41,58.16,7.92,65.7,28.87,5.27,88.65,122,0.623,2391.06
rice,40.32,6.31,101.6,32.32,53.14,33.34,717.22,57.96,5.5,13.4,4.58,162.89,53.02,105,0.534,3928.78
wheat,62.17,7.27,64.2,45.93,46.24,27.02,1084.72,74.45,7.65,10.0,3.58,279.39,397.24,122,0.836,4121.13
maize,69.71,5.92,77.34,68.85,69.12,24.51,1099.04,80.46,6.4,54.75,20.3,9.0,319.31,110,0.591,6172.17
cotton,71.64,6.82,88.13,72.24,79.13,25.73,655.17,64.29,6.71,56.76,18.62,9.46,40.62,113,0.745,2189.89
soybean,53.45,6.24,82.59,37.37,85.79,19.14,1011.37,84.1,8.92,28.12,12.56,28.32,365.45,105,0.724,2294.47
rice,41.41,6.75,83.46,46.5,45.34,27.24,905.5,72.25,8.9,33.63,12.8,23.22,273.63,126,0.585,3265.25
cotton,82.34,5.53,81.77,65.8,58.02,29.91,532.89,67.89,8.71,63.36,27.71,5.7,269.35,131,0.839,2891.33
cotton,73.93,5.5,96.16,21.82,89.47,23.32,405.49,74.71,6.84,54.67,19.22,9.52,275.56,123,0.821,2564.53
wheat,70.18,7.24,108.63,68.23,99.06,31.4,1052.7,56.41,8.77,17.58,7.03,80.9,172.09,124,0.821,4004.32
rice,88.74,5.72,41.26,45.9,70.3,24.48,966.69,54.79,9.66,21.49,10.69,43.54,31.25,92,0.795,4039.28
cotton,46.84,6.0,84.84,53.51,97.32,30.05,939.37,51.76,5.9,62.64,22.22,7.18,175.99,94,0.894,2596.83
rice,40.91,6.99,96.09,51.07,78.01,25.01,435.79,67.97,7.71,26.75,12.23,30.57,338.94,108,0.648,3593.04
maize,77.67,6.95,69.75,77.67,51.52,26.56,994.03,80.24,8.71,50.12,22.05,9.05,475.75,106,0.891,7576.62
rice,77.79,5.83,94.33,46.76,30.31,20.87,569.87,63.32,9.32,16.88,7.38,80.24,45.43,131,0.707,4182.04
rice,43.39,6.8,114.63,62.17,43.41,32.32,982.92,70.58,5.02,25.61,8.47,46.07,478.56,114,0.659,4185.96
wheat,87.46,6.16,46.26,74.03,68.62,30.36,850.18,61.05,9.76,10.93,3.8,240.52,38.71,99,0.829,3920.18
maize,75.53,6.01,85.55,74.5,31.36,31.09,466.33,70.98,7.78,61.75,23.96,6.76,0.0,140,0.874,7460.26
soybean,59.84,5.73,107.73,58.57,98.04,30.94,1046.59,60.18,8.7,26.38,11.17,33.94,105.23,124,0.635,1888.21
maize,43.92,5.58,119.84,52.07,67.34,23.44,1049.44,71.51,6.14,63.57,26.58,5.92,448.7,117,0.608,7424.76
cotton,74.25,6.48,64.02,44.87,78.56,23.52,997.28,60.18,8.9,60.47,27.34,6.05,471.34,119,0.569,2412.23
soybean,75.74,5.52,43.46,56.16,51.73,24.38,730.92,53.87,9.86,33.63,10.4,28.6,298.05,90,0.506,2083.83
rice,84.65,5.53,78.85,79.4,90.02,28.23,514.95,58.85,5.32,27.91,13.95,25.67,314.43,92,0.722,3763.94
wheat,79.68,6.85,94.65,64.12,62.95,31.61,706.9,55.21,5.6,18.36,7.62,71.49,357.38,111,0.899,5083.64
rice,60.49,5.91,116.42,28.12,67.21,21.74,722.85,64.82,6.37,15.77,4.82,131.69,495.73,140,0.588,3995.79
wheat,70.36,5.71,113.27,64.1,70.62,25.28,945.06,74.38,7.9,17.92,8.96,62.29,493.1,106,0.855,4395.77
wheat,40.68,5.52,43.97,79.1,68.98,20.22,525.07,67.1,6.83,11.22,4.24,210.21,204.97,123,0.594,4519.17
soybean,79.95,7.32,110.33,75.54,43.75,27.33,779.81,70.79,5.52,37.04,12.23,22.07,11.65,148,0.753,1905.3
rice,46.64,7.47,59.01,28.07,35.66,24.65,606.37,78.1,9.06,23.31,10.01,42.87,217.46,100,0.814,4058.12
cotton,40.83,6.85,89.96,62.26,54.75,34.08,1141.99,63.68,9.82,56.32,17.56,10.11,294.54,147,0.769,2977.32
cotton,67.72,5.67,71.75,70.5,49.51,20.68,1179.64,58.39,8.55,66.88,27.99,5.34,52.76,95,0.597,2076.2
maize,88.83,7.44,100.68,27.83,44.88,21.59,1108.72,75.2,8.22,56.76,21.97,8.02,445.75,95,0.743,7143.53
cotton,79.38,5.96,97.83,21.57,63.34,19.32,518.33,51.61,9.77,62.6,26.45,6.04,198.48,119,0.534,2396.73
maize,64.63,6.72,106.16,65.8,32.15,27.49,1176.05,70.49,5.2,57.84,26.19,6.6,91.94,92,0.801,8128.84
cotton,80.78,7.47,101.13,79.44,83.61,19.82,509.44,71.91,9.67,63.69,31.2,5.03,346.62,138,0.759,2574.49
rice,59.78,6.89,100.81,69.91,50.05,31.4,700.83,53.51,8.86,22.85,11.09,39.45,358.84,119,0.586,3872.99
soybean,87.96,6.25,88.58,28.5,51.33,33.18,799.5,69.28,8.28,25.35,7.61,51.85,366.89,94,0.584,2090.16
cotton,69.24,6.55,66.0,29.53,82.59,23.44,603.22,81.91,8.85,60.0,26.47,6.3,439.64,95,0.741,2582.63
wheat,51.71,7.0,51.76,50.4,79.46,26.98,1007.49,64.48,8.24,10.0,4.71,212.28,38.8,137,0.718,3934.0
soybean,66.57,6.46,70.21,39.91,48.07,21.34,880.09,53.42,7.32,30.18,10.0,33.13,244.64,116,0.678,2125.17
cotton,82.94,7.12,67.32,22.18,80.94,30.84,410.85,76.44,7.62,62.23,19.31,8.32,484.43,91,0.67,2514.5
cotton,40.94,6.51,76.92,21.22,51.22,23.46,849.09,70.38,7.82,59.39,24.67,6.82,439.6,96,0.853,2441.2
soybean,87.93,6.17,118.21,31.96,48.8,24.64,671.48,50.32,5.21,37.17,15.12,17.79,438.78,107,0.805,2123.22
wheat,46.55,6.23,66.87,68.36,49.01,25.83,997.64,65.58,9.29,14.69,5.94,114.62,93.89,132,0.767,3765.05
wheat,54.0,7.43,56.89,38.18,87.34,22.93,1015.64,74.75,9.73,13.51,6.46,114.51,411.57,105,0.711,4370.92
maize,64.24,7.46,89.56,73.86,94.82,20.84,828.19,83.31,9.37,54.79,19.8,9.22,341.48,124,0.703,5925.24
wheat,83.76,6.65,113.02,41.47,84.24,19.14,412.84,55.01,7.61,21.8,10.39,44.17,418.56,95,0.592,4355.36
maize,48.1,5.61,65.16,44.91,94.45,30.94,430.26,60.05,7.84,66.29,27.37,5.51,486.57,101,0.712,6942.59
cotton,70.8,7.29,98.19,39.59,93.68,34.44,685.02,61.5,9.85,53.83,17.71,10.49,339.33,127,0.858,3053.42
maize,80.03,6.79,43.4,33.76,89.32,23.23,581.28,66.34,7.08,55.83,27.91,6.42,158.42,90,0.762,7244.29
rice,60.1,6.95,53.28,79.28,48.93,27.49,905.11,65.51,9.73,23.2,10.51,41.0,133.33,101,0.738,4167.71
wheat,68.44,6.91,63.44,49.86,52.93,27.17,721.35,84.95,7.93,11.14,4.22,212.6,337.84,121,0.704,4070.68
maize,69.11,7.14,45.86,74.33,50.5,18.22,1171.13,82.11,5.67,64.03,21.87,7.14,166.0,118,0.513,7205.57
wheat,86.24,7.07,101.29,49.1,89.35,22.84,548.8,52.32,8.96,19.99,6.01,83.21,409.99,143,0.814,4706.52
soybean,49.54,5.5,53.06,66.15,93.38,28.03,629.53,60.19,6.78,20.0,7.77,64.34,444.37,129,0.547,1872.65
maize,67.27,7.18,106.84,37.09,98.88,34.67,684.79,53.63,8.09,65.64,23.48,6.49,225.76,139,0.78,8038.88
rice,72.13,5.61,104.41,36.55,36.87,29.19,995.57,77.55,7.22,15.56,5.13,125.38,15.04,97,0.884,3443.88
cotton,42.14,6.91,72.06,37.2,74.96,28.12,536.6,51.28,5.3,66.49,28.92,5.2,280.4,103,0.535,2471.02
soybean,51.76,7.02,92.97,64.22,63.53,27.66,887.86,57.09,5.31,36.63,14.39,18.97,142.45,139,0.826,1818.23
wheat,69.59,5.74,53.64,47.23,70.63,19.72,635.53,79.71,9.04,12.44,3.85,208.57,48.35,124,0.74,4096.0
wheat,43.7,5.92,113.92,34.66,66.97,23.84,1115.73,82.24,8.68,10.0,3.76,266.16,328.33,111,0.869,4634.26
maize,77.69,6.22,70.67,50.81,44.88,22.32,580.26,76.41,8.46,66.43,28.81,5.22,346.09,141,0.661,6766.79
rice,58.14,7.4,58.38,29.24,71.83,26.15,1090.87,79.0,7.37,19.61,7.83,65.13,107.78,96,0.582,4037.51
cotton,68.1,7.27,56.35,50.08,89.42,25.25,503.69,75.55,6.32,57.76,26.09,6.64,217.35,108,0.637,2971.31
rice,53.02,5.64,94.92,34.43,65.53,28.29,540.42,51.41,7.7,18.03,5.45,101.77,230.06,130,0.687,3998.36
cotton,84.09,6.32,97.39,33.23,86.02,33.02,420.85,76.66,7.1,54.99,19.58,9.29,321.14,123,0.75,2380.98
rice,68.3,5.86,93.38,63.92,83.01,30.53,1196.7,77.93,8.86,19.91,9.45,53.18,292.59,101,0.705,4494.36
soybean,59.75,6.56,69.44,64.17,38.04,24.55,1176.02,62.37,7.99,30.31,9.69,34.04,428.08,143,0.527,2373.65
soybean,63.05,7.37,89.5,24.35,34.64,23.14,612.24,80.86,8.71,28.9,12.08,28.65,108.68,142,0.874,2301.52
cotton,88.32,5.81,58.42,55.53,84.73,30.61,1088.23,59.76,8.29,62.22,25.05,6.42,468.16,124,0.549,2758.85
cotton,68.04,6.83,78.76,41.87,67.6,23.47,1103.51,54.91,7.75,66.23,30.88,4.89,69.19,132,0.58,2150.62
wheat,88.1,6.7,58.47,45.81,46.14,22.77,1097.64,50.2,7.99,20.15,9.32,53.22,152.82,143,0.712,4065.85
cotton,82.38,6.96,85.72,74.76,88.3,18.68,940.6,53.17,7.88,54.63,20.15,9.08,446.45,100,0.579,2261.35
soybean,65.67,6.31,116.77,25.21,37.45,20.12,416.82,59.46,9.55,24.38,8.6,47.7,108.69,119,0.659,2235.79
rice,74.79,6.11,57.34,71.18,44.11,34.02,412.65,63.56,7.0,15.74,5.19,122.5,243.14,112,0.746,4309.66
wheat,88.65,5.69,94.72,78.98,59.39,34.41,642.72,68.45,9.13,22.53,8.55,51.93,248.17,130,0.9,4760.61
cotton,56.99,5.52,83.27,79.31,42.41,26.84,709.08,76.49,6.98,54.83,20.86,8.74,181.0,108,0.847,2410.1
soybean,89.25,6.91,70.24,73.57,46.68,19.51,1058.18,53.96,5.17,34.92,14.81,19.34,391.42,145,0.853,2067.69
maize,89.36,6.75,48.62,51.14,43.37,27.11,838.93,66.67,6.11,59.02,21.76,7.79,227.79,121,0.525,7212.71
soybean,45.69,6.76,95.98,35.13,95.99,34.57,785.61,82.66,8.95,34.99,15.38,18.58,425.31,137,0.54,2258.41
maize,85.39,6.29,115.79,46.89,42.44,23.43,907.98,61.38,7.62,62.06,24.07,6.69,290.51,110,0.505,7302.66
cotton,72.43,6.91,102.69,33.63,46.16,27.57,626.06,81.48,9.26,59.2,20.65,8.18,30.31,131,0.825,2463.79
rice,89.98,6.29,109.47,46.41,34.93,23.34,442.83,63.49,9.36,19.64,6.38,79.87,76.19,93,0.886,3429.24
soybean,52.72,7.36,113.52,72.42,45.85,30.73,691.81,58.05,6.82,34.46,15.95,18.19,34.18,116,0.784,2149.83
cotton,57.8,6.91,98.53,64.35,93.42,22.31,1006.75,79.12,9.19,61.48,20.55,7.92,339.65,109,0.592,2526.15
maize,45.37,5.62,97.7,55.03,57.35,19.81,692.68,58.38,8.25,69.02,22.42,6.46,465.0,127,0.599,6565.19
cotton,63.36,6.29,102.84,61.58,36.66,25.04,1156.85,64.76,8.61,58.65,19.32,8.83,80.88,144,0.682,2831.76
wheat,56.57,5.65,111.26,47.65,79.71,18.6,766.02,53.81,6.08,18.52,8.16,66.16,456.52,96,0.546,4125.46
cotton,59.27,7.33,42.78,21.84,55.76,18.71,609.61,79.91,6.1,59.68,21.64,7.74,123.33,139,0.589,2893.72
maize,47.65,6.62,104.48,23.1,84.77,32.46,1125.76,68.53,7.06,63.14,25.74,6.15,301.13,101,0.671,7483.0
maize,57.99,6.28,83.94,58.13,56.41,19.1,752.86,70.07,6.74,62.78,26.14,6.09,56.14,131,0.63,7887.43
soybean,78.57,7.37,80.79,77.57,92.85,29.92,631.93,76.36,7.79,28.1,9.87,36.06,380.64,106,0.72,2030.37
rice,89.38,6.89,45.9,65.5,85.07,28.99,1039.02,54.97,6.94,27.11,11.47,32.16,52.77,103,0.514,3874.43
cotton,75.57,6.97,72.44,46.65,65.96,18.13,579.91,78.3,8.67,55.5,26.23,6.87,464.06,108,0.637,2151.53
maize,50.78,5.87,41.71,20.07,60.16,18.46,605.05,71.56,8.95,59.32,26.98,6.25,126.84,127,0.834,7702.05
rice,51.89,7.18,77.68,28.76,47.83,30.23,909.44,58.43,9.58,27.51,13.03,27.89,213.59,135,0.79,3773.59
soybean,68.13,7.01,79.68,57.98,65.18,32.2,699.61,58.92,6.95,32.67,10.47,29.25,424.21,125,0.792,2073.3
soybean,50.28,7.45,54.06,22.87,68.95,29.27,451.84,69.06,7.46,34.29,12.27,23.77,353.0,114,0.631,2059.46
rice,55.66,7.13,90.71,49.78,52.61,30.92,511.96,59.91,7.77,22.6,7.67,57.67,491.35,118,0.884,3923.86
cotton,76.36,7.04,83.59,46.43,79.35,31.71,663.49,57.57,5.28,58.38,22.08,7.76,353.7,106,0.894,2346.5
wheat,89.81,5.63,40.4,20.26,88.34,19.69,1096.57,60.51,8.61,15.39,6.7,97.06,334.51,120,0.661,4180.03
rice,44.28,5.72,107.72,27.51,90.85,19.53,1040.97,62.48,6.1,10.57,4.06,233.25,369.89,114,0.671,3255.92
soybean,84.07,5.8,72.28,79.78,70.91,29.34,540.24,74.33,6.6,33.0,15.98,18.97,23.22,132,0.63,1804.44
soybean,76.51,7.41,64.37,49.78,56.01,30.82,441.08,73.78,5.06,28.2,10.67,33.24,86.06,90,0.732,2101.68
soybean,50.69,6.74,116.79,36.74,88.37,18.59,1057.55,70.69,6.15,32.17,9.71,32.01,5.19,133,0.874,2020.19
cotton,79.92,6.2,93.91,64.47,62.08,18.38,1164.79,84.39,9.96,56.78,19.28,9.13,435.01,110,0.565,2560.61
wheat,56.75,5.65,67.93,71.97,71.17,21.69,702.8,51.73,6.95,17.06,7.08,82.78,452.02,116,0.705,4795.4
soybean,65.36,5.63,111.42,50.69,34.2,34.03,1124.85,74.74,5.42,22.67,8.87,49.72,340.26,119,0.605,2166.71
rice,67.53,6.29,103.19,77.92,99.27,25.58,895.6,80.68,9.91,21.57,7.99,58.01,425.53,125,0.651,4186.57
soybean,62.93,7.34,93.5,55.01,56.78,18.3,861.95,58.08,8.71,32.35,14.69,21.05,428.39,114,0.612,2247.11
maize,51.44,7.19,66.87,55.57,61.86,25.1,716.88,52.38,5.63,57.48,28.17,6.18,195.74,128,0.848,7646.32
rice,88.19,5.65,45.94,37.84,72.79,32.02,807.46,65.54,8.39,10.0,3.32,301.33,243.13,128,0.822,4280.62
maize,60.39,6.29,97.86,57.42,74.11,26.96,1148.11,51.59,6.02,61.87,26.94,6.0,466.57,107,0.765,6351.8
rice,84.19,6.53,42.81,23.02,90.57,21.98,1005.28,50.81,7.24,23.99,8.18,50.94,492.83,92,0.506,3301.88
rice,47.02,6.46,101.57,46.93,81.86,18.56,405.52,50.66,7.01,36.0,16.22,17.13,285.46,132,0.551,4001.36
maize,74.26,7.32,84.22,54.34,77.11,34.11,475.87,69.16,5.57,56.75,26.42,6.67,256.78,98,0.586,6551.7
wheat,61.92,7.42,76.48,59.11,57.16,26.96,811.89,75.42,5.68,10.74,3.81,244.69,66.66,116,0.835,3981.97
rice,69.09,6.47,117.09,58.52,84.23,32.97,1170.88,61.41,8.45,18.8,7.03,75.63,399.17,145,0.599,3857.67
cotton,87.82,6.11,71.23,25.98,56.8,25.82,713.98,69.39,8.33,64.49,30.48,5.09,346.24,124,0.648,2475.2
wheat,56.91,6.5,76.3,73.87,39.43,22.63,794.33,80.0,9.91,20.19,7.09,69.8,277.41,112,0.681,3734.18
wheat,74.14,5.94,58.14,37.94,42.52,25.04,587.31,67.43,5.83,16.14,5.06,122.39,450.63,113,0.77,4723.02
rice,88.34,5.51,90.3,67.23,75.69,20.48,591.66,58.33,6.22,15.59,7.14,89.81,244.16,140,0.683,3308.53
wheat,46.81,6.45,88.59,46.94,66.92,31.31,673.08,65.84,8.24,19.62,6.57,77.56,446.9,110,0.844,3800.88
maize,88.04,5.96,117.07,41.99,58.01,18.09,951.14,58.34,8.03,52.96,19.03,9.92,419.77,147,0.518,5686.51
cotton,87.19,5.56,71.01,73.96,83.07,23.51,1174.78,63.58,6.23,66.13,21.62,7.0,273.76,119,0.808,2865.51
rice,72.66,5.54,88.43,39.97,68.1,33.72,783.23,63.18,7.63,10.0,4.41,226.78,236.49,127,0.704,3659.03
rice,62.59,5.85,77.84,21.67,71.45,26.67,440.35,80.77,8.45,13.6,6.04,121.68,467.33,109,0.838,4321.84
rice,45.5,6.7,94.78,50.37,56.25,19.0,951.78,68.49,7.9,17.67,6.98,81.14,405.4,126,0.839,3540.56
soybean,83.64,6.55,111.83,67.47,36.83,22.1,1009.31,80.22,6.79,27.79,13.06,27.55,418.22,90,0.715,2250.34
rice,89.14,6.63,49.68,35.57,75.43,30.8,400.97,53.35,5.38,23.43,10.16,42.0,351.94,128,0.714,4301.41
cotton,67.07,6.48,115.86,62.89,80.58,18.5,694.4,59.21,6.82,57.38,26.37,6.61,387.4,127,0.593,2968.32
